Entity,Code,Year,Male,Female,Population,Suicide Rate,Depressive Disorder Rates, All Ages ,10-14 years old (%),15-19 years old (%),20-24 years old (%),25-29 years old (%),30-34 years old (%),50-69 years old (%),70+ years old (%),35-49 years old (%),All ages (%),
Vietnam,VNM,1990,2.101618362,3.598942424,67989000,9.506400242,2893.213339,1569697.016,1.019155498,2.282036564,2.598388094,2.758003595,2.99600402,5.828201209,6.066944736,2.921080662,2.334834505,
Vietnam,VNM,1991,2.103303921,3.597535898,69437000,9.449325181,2891.292068,1607940.485,1.017676446,2.279525315,2.598197257,2.758792555,2.999486817,5.838854894,6.067191441,2.928199472,2.346482015,
Vietnam,VNM,1992,2.104390292,3.599088317,70883000,9.394767259,2890.420594,1648174.917,1.020009085,2.28046806,2.601797136,2.759503788,3.005065849,5.84585307,6.066889047,2.938449389,2.361070697,
Vietnam,VNM,1993,2.106723912,3.598558135,72300000,9.338196939,2888.738157,1688955.824,1.018472338,2.27791727,2.601288035,2.764348851,2.99842021,5.856177604,6.065029267,2.946626296,2.376165541,
Vietnam,VNM,1994,2.108193728,3.601669121,73651000,9.29162855,2888.323878,1732803.85,1.017896745,2.272179263,2.603407858,2.765100503,3.00376184,5.864248478,6.062186079,2.957536255,2.394845535,
Vietnam,VNM,1995,2.108942494,3.603520215,74910000,9.236108239,2887.213827,1776840.816,1.016258895,2.270253108,2.597749374,2.768560033,3.008489717,5.872317909,6.053652293,2.965254776,2.414036826,
Vietnam,VNM,1996,2.107642765,3.607182614,76069000,9.152020552,2885.15174,1823012.51,1.008931162,2.264177614,2.593432645,2.767334754,3.003654115,5.882044937,6.038844823,2.975338612,2.437013839,
Vietnam,VNM,1997,2.106997237,3.614741561,77133000,9.046137039,2884.756523,1870969.792,0.999173932,2.241387673,2.586090497,2.767391581,3.011615332,5.898870366,6.008971255,2.985524852,2.463215244,
Vietnam,VNM,1998,2.104589661,3.626977712,78116000,8.914701606,2885.386627,1920698.177,0.986831699,2.220293671,2.57792801,2.767845099,3.0256371,5.914258893,5.983967168,2.997546204,2.4933279,
Vietnam,VNM,1999,2.105277352,3.637958671,79036000,8.765651354,2886.411141,1972374.992,0.97981982,2.205625665,2.567427227,2.769797633,3.035377187,5.92283899,5.954299794,3.011121371,2.527314578,
Vietnam,VNM,2000,2.10314973,3.641255851,79910000,8.618050898,2882.694686,2020456.032,0.977728078,2.189570453,2.558648888,2.767617176,3.036822941,5.933385304,5.933925283,3.019929375,2.557893657,
Vietnam,VNM,2001,2.103869071,3.644109952,80743000,8.475544641,2879.224594,2071104.912,0.979175207,2.18560539,2.553157304,2.764824321,3.032345339,5.907750335,5.921798661,3.02404347,2.593579521,
Vietnam,VNM,2002,2.106627314,3.640729138,81534000,8.369111513,2872.800526,2119647.926,0.980787799,2.184307467,2.54030644,2.757752249,3.021187887,5.877814628,5.911929419,3.024795894,2.627743487,
Vietnam,VNM,2003,2.107579292,3.638852994,82302000,8.310766367,2866.072025,2168297.858,0.986653121,2.18155453,2.530947748,2.748219246,3.012268441,5.852318049,5.903175262,3.023057048,2.662031698,
Vietnam,VNM,2004,2.109844664,3.635615038,83063000,8.242143174,2859.305606,2217290.663,0.989051704,2.18833128,2.516261622,2.73834025,3.0034416,5.819791036,5.898183946,3.023115742,2.696549959,
Vietnam,VNM,2005,2.11042794,3.633865601,83833000,8.155733864,2854.092294,2266589.563,0.99136551,2.181585243,2.518262865,2.729539613,2.997447208,5.783960044,5.887653537,3.023025038,2.730050496,
Vietnam,VNM,2006,2.113000982,3.625969214,84618000,8.054188837,2847.034893,2316572.78,0.995609254,2.181506344,2.502837104,2.72128853,2.987994245,5.762980297,5.875675223,3.018930558,2.761571021,
Vietnam,VNM,2007,2.114739524,3.615107166,85420000,7.940879105,2838.440155,2365075.571,0.99638378,2.178827753,2.495760566,2.714219826,2.980676731,5.736651107,5.857317442,3.01417516,2.789874699,
Vietnam,VNM,2008,2.114021193,3.606825215,86243000,7.856174212,2830.302299,2412427.578,0.998072196,2.176704507,2.487559677,2.702789963,2.968326602,5.71181605,5.844537184,3.009455511,2.816563686,
Vietnam,VNM,2009,2.114215702,3.597109622,87092000,7.801783284,2822.052034,2458846.623,1.001421174,2.177121395,2.478809883,2.693707266,2.958709113,5.68872959,5.831988779,3.00507305,2.841292273,
Vietnam,VNM,2010,2.113716262,3.589066506,87968000,7.702340597,2814.760556,2504703.697,1.000959897,2.175850337,2.475213317,2.68803444,2.946885234,5.663780499,5.826150412,3.003492851,2.86437874,
Vietnam,VNM,2011,2.115178704,3.580601978,88871000,7.613471461,2807.787526,2551202.67,1.003860146,2.178999169,2.46533531,2.678545113,2.938488267,5.65394983,5.822655818,3.002094383,2.887471121,
Vietnam,VNM,2012,2.120109492,3.571886883,89802000,7.554714687,2802.367597,2598599.103,1.005613142,2.187215905,2.466057664,2.670245474,2.925616319,5.64468886,5.824033852,3.004006094,2.911013363,
Vietnam,VNM,2013,2.121262891,3.565602408,90753000,7.525522591,2796.252756,2644177.362,1.011833175,2.190001584,2.459687828,2.657141908,2.914461022,5.637731458,5.836417338,3.003121559,2.932909138,
Vietnam,VNM,2014,2.12393365,3.560647651,91714000,7.503921314,2791.371118,2690256.217,1.022520481,2.197962656,2.455799486,2.649798826,2.906302761,5.630410448,5.847647314,3.005436371,2.956230014,
Vietnam,VNM,2015,2.128072256,3.555864877,92677000,7.481462725,2787.539348,2736264.676,1.031490347,2.219388576,2.452719155,2.636657691,2.895453369,5.625535712,5.86818087,3.008496045,2.980403292,
Vietnam,VNM,2016,2.13107509,3.551118601,93640000,7.460807379,2782.832917,2781776.026,1.042637495,2.222170559,2.446924254,2.62384614,2.880724187,5.621979226,5.895323234,3.010222848,3.004831777,
Vietnam,VNM,2017,2.138026587,3.545613168,94601000,7.422037807,2779.500683,2828343.511,1.05321845,2.243649417,2.446135185,2.618439342,2.863142908,5.621733225,5.924872188,3.012576964,3.031197218,
